Id,Like Count,Comment Count,retweet Count,View count,countOfWords,countOfPositive,countOfNegative,Art,Health,Politics,Science,Sport,C_Text__mysteries,C_Text__replying,T_Text__replying,T_Text__manchester,C_Text__manchester,T_Text__believe,T_Text__mark
100,21,2,12,924,42,0,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,11,5,2,298,9,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,1,0,1,21,30,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,11,122,7,223,22,0,2,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,0,0,0,8,47,1,2,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,13,4,1,784,20,2,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,47,0,17,7314,12,0,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,1308,337,15,100000,32,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,8,0,1,306,12,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,0,0,0,13,18,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,3,2,0,222,12,0,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,7,1,16,3401,28,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,12,122,1,163,46,2,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,87,9,42,798,7,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,218,5,76,10000,41,3,4,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,211,19,60,18000,21,1,2,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,7133,204,1534,158000,44,0,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,460,21,217,8982,25,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,66,6,5,2877,23,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,57,5,32,922,29,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,16,4,3,392,15,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,975,67,137,41000,19,1,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,3,3,4,309,10,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,0,0,0,6,7,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,0,1,0,1,41,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,2,3,0,1,19,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,3,122,0,33,4,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,177,1,5,4356,10,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,6,1,0,424,11,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,328,24,42,7753,20,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,0,0,0,248461,7,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,0,122,0,0,13,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,0,0,0,12,11,2,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,0,0,0,4,16,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,0,0,6,248461,47,1,3,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,1,0,1,38,14,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,0,0,0,7,6,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,0,1,0,8,6,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,0,0,0,12,15,1,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,0,122,0,38,35,1,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,0,0,0,1,13,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,43,3,5,391,23,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,0,0,0,13,8,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,1,1,0,33,16,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,0,0,1,959,8,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,6,1,0,115,6,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,25,1,15,792,13,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,8,1,1,271,14,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,2,1,0,55,7,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,30,2,1,1380,15,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,1,1,0,217,47,2,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,5,2,1,695,14,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,1,122,0,3,6,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
